teamA,teamB,date,league,teamA_win
Invictus Gaming,EDward Gaming,2023-02-01,LPL,1
Anyone's Legend,Ultra Prime,2023-01-31,LPL,0
ThunderTalk Gaming,Team WE,2023-01-31,LPL,0
Rare Atom,Ninjas in Pyjamas,2023-01-30,LPL,1
LGD Gaming,Oh My God,2023-01-30,LPL,0
Weibo Gaming,Top Esports,2023-01-18,LPL,1
FunPlus Phoenix,Bilibili Gaming,2023-01-18,LPL,0
Invictus Gaming,Royal Never Give Up,2023-01-17,LPL,1
ThunderTalk Gaming,LNG Esports,2023-01-17,LPL,0
Top Esports,Anyone's Legend,2023-01-16,LPL,1
Team WE,EDward Gaming,2023-01-16,LPL,0
Ultra Prime,Ninjas in Pyjamas,2023-01-15,LPL,0
Royal Never Give Up,Oh My God,2023-01-15,LPL,1
LGD Gaming,Rare Atom,2023-01-15,LPL,0
Bilibili Gaming,JD Gaming,2023-01-14,LPL,0
Anyone's Legend,Invictus Gaming,2023-01-14,LPL,0
FunPlus Phoenix,Team WE,2023-01-14,LPL,0
JD Gaming,Bilibili Gaming,2023-04-15,LPL,1
EDward Gaming,Bilibili Gaming,2023-04-11,LPL,0
EDward Gaming,JD Gaming,2023-04-09,LPL,0
Bilibili Gaming,Oh My God,2023-04-08,LPL,1
EDward Gaming,Oh My God,2023-04-06,LPL,1
JD Gaming,Bilibili Gaming,2023-04-05,LPL,1
LNG Esports,Oh My God,2023-04-04,LPL,0
Weibo Gaming,Bilibili Gaming,2023-04-03,LPL,0
Oh My God,Top Esports,2023-04-02,LPL,1
Royal Never Give Up,Bilibili Gaming,2023-04-01,LPL,0
Top Esports,Team WE,2023-03-31,LPL,1
ThunderTalk Gaming,Royal Never Give Up,2023-03-30,LPL,0
Weibo Gaming,EDward Gaming,2023-07-17,LPL,1
Royal Never Give Up,LGD Gaming,2023-07-17,LPL,1
Anyone's Legend,Oh My God,2023-07-17,LPL,0
Rare Atom,Oh My God,2023-07-16,LPL,0
ThunderTalk Gaming,JD Gaming,2023-07-16,LPL,0
Team WE,Bilibili Gaming,2023-07-16,LPL,0
Ultra Prime,Invictus Gaming,2023-07-15,LPL,0
Ninjas in Pyjamas,LNG Esports,2023-07-15,LPL,0
Team WE,FunPlus Phoenix,2023-07-15,LPL,0
Royal Never Give Up,Weibo Gaming,2023-07-14,LPL,0
Anyone's Legend,Top Esports,2023-07-14,LPL,0
LGD Gaming,Ultra Prime,2023-07-14,LPL,0
Oh My God,EDward Gaming,2023-07-13,LPL,1
Invictus Gaming,Weibo Gaming,2023-07-13,LPL,1
JD Gaming,Rare Atom,2023-07-13,LPL,1
Bilibili Gaming,Royal Never Give Up,2023-07-12,LPL,1
FunPlus Phoenix,Ninjas in Pyjamas,2023-07-12,LPL,1
LNG Esports,ThunderTalk Gaming,2023-07-12,LPL,1
Team WE,JD Gaming,2023-07-11,LPL,0
Ultra Prime,Top Esports,2023-07-11,LPL,0
Ninjas in Pyjamas,Rare Atom,2023-07-10,LPL,1
LNG Esports,LGD Gaming,2023-07-10,LPL,1
Invictus Gaming,JD Gaming,2023-07-09,LPL,1
EDward Gaming,FunPlus Phoenix,2023-07-09,LPL,1
Weibo Gaming,Anyone's Legend,2023-07-09,LPL,1
Oh My God,ThunderTalk Gaming,2023-07-08,LPL,0
Team WE,Royal Never Give Up,2023-07-08,LPL,0
Bilibili Gaming,Ninjas in Pyjamas,2023-07-08,LPL,1
Top Esports,Oh My God,2023-07-07,LPL,1
Weibo Gaming,Ultra Prime,2023-07-07,LPL,1
LGD Gaming,EDward Gaming,2023-07-07,LPL,0
ThunderTalk Gaming,Invictus Gaming,2023-07-06,LPL,1
Team WE,Rare Atom,2023-07-06,LPL,1
Anyone's Legend,LNG Esports,2023-07-06,LPL,0
Bilibili Gaming,Top Esports,2023-07-05,LPL,1
Ultra Prime,Oh My God,2023-07-05,LPL,0
FunPlus Phoenix,JD Gaming,2023-07-05,LPL,0
EDward Gaming,ThunderTalk Gaming,2023-07-04,LPL,0
Weibo Gaming,Team WE,2023-07-04,LPL,0
Royal Never Give Up,Ninjas in Pyjamas,2023-07-04,LPL,0
LGD Gaming,Team WE,2023-07-03,LPL,1
Invictus Gaming,Anyone's Legend,2023-07-03,LPL,1
LNG Esports,Oh My God,2023-07-02,LPL,1
Rare Atom,Top Esports,2023-07-02,LPL,0
Bilibili Gaming,FunPlus Phoenix,2023-07-02,LPL,1
EDward Gaming,Team WE,2023-07-01,LPL,1
JD Gaming,Ultra Prime,2023-07-01,LPL,1
ThunderTalk Gaming,Royal Never Give Up,2023-07-01,LPL,0
Weibo Gaming,Ninjas in Pyjamas,2023-06-30,LPL,1
Invictus Gaming,Top Esports,2023-06-30,LPL,0
Rare Atom,Anyone's Legend,2023-06-30,LPL,0
LNG Esports,Team WE,2023-06-29,LPL,1
Oh My God,FunPlus Phoenix,2023-06-29,LPL,1
LGD Gaming,Bilibili Gaming,2023-06-29,LPL,0
Rare Atom,ThunderTalk Gaming,2023-06-28,LPL,1
Anyone's Legend,Royal Never Give Up,2023-06-28,LPL,1
EDward Gaming,Ultra Prime,2023-06-28,LPL,1
Bilibili Gaming,Invictus Gaming,2023-06-27,LPL,1
Weibo Gaming,FunPlus Phoenix,2023-06-27,LPL,0
Ninjas in Pyjamas,JD Gaming,2023-06-27,LPL,0
Top Esports,Team WE,2023-06-26,LPL,0
Oh My God,LGD Gaming,2023-06-26,LPL,1
Invictus Gaming,LNG Esports,2023-06-25,LPL,1
Rare Atom,EDward Gaming,2023-06-25,LPL,0
Ultra Prime,Royal Never Give Up,2023-06-25,LPL,0
Weibo Gaming,Bilibili Gaming,2023-06-24,LPL,0
FunPlus Phoenix,Anyone's Legend,2023-06-24,LPL,0
ThunderTalk Gaming,Team WE,2023-06-24,LPL,1
Top Esports,JD Gaming,2023-06-23,LPL,0
Ultra Prime,LNG Esports,2023-06-23,LPL,0
LGD Gaming,FunPlus Phoenix,2023-06-23,LPL,0
Team WE,Oh My God,2023-06-22,LPL,0
Royal Never Give Up,EDward Gaming,2023-06-22,LPL,1
Invictus Gaming,Rare Atom,2023-06-22,LPL,0
Bilibili Gaming,LNG Esports,2023-06-21,LPL,1
Weibo Gaming,ThunderTalk Gaming,2023-06-21,LPL,1
EDward Gaming,Anyone's Legend,2023-06-21,LPL,1
FunPlus Phoenix,Invictus Gaming,2023-06-20,LPL,1
Ultra Prime,Rare Atom,2023-06-20,LPL,1
LGD Gaming,Anyone's Legend,2023-06-19,LPL,1
Ninjas in Pyjamas,Team WE,2023-06-19,LPL,0
JD Gaming,Bilibili Gaming,2023-06-18,LPL,1
Royal Never Give Up,Top Esports,2023-06-18,LPL,0
ThunderTalk Gaming,Ninjas in Pyjamas,2023-06-18,LPL,0
LNG Esports,EDward Gaming,2023-06-17,LPL,1
Rare Atom,Weibo Gaming,2023-06-17,LPL,0
Invictus Gaming,Oh My God,2023-06-17,LPL,0
Ultra Prime,Ninjas in Pyjamas,2023-06-16,LPL,0
FunPlus Phoenix,Royal Never Give Up,2023-06-16,LPL,0
Top Esports,LGD Gaming,2023-06-16,LPL,1
ThunderTalk Gaming,Bilibili Gaming,2023-06-15,LPL,0
Anyone's Legend,JD Gaming,2023-06-15,LPL,0
LNG Esports,Rare Atom,2023-06-15,LPL,1
Top Esports,FunPlus Phoenix,2023-06-14,LPL,1
EDward Gaming,Invictus Gaming,2023-06-14,LPL,1
LGD Gaming,Weibo Gaming,2023-06-14,LPL,0
Royal Never Give Up,JD Gaming,2023-06-13,LPL,0
Ninjas in Pyjamas,Oh My God,2023-06-13,LPL,0
Bilibili Gaming,Anyone's Legend,2023-06-12,LPL,1
ThunderTalk Gaming,Ultra Prime,2023-06-12,LPL,0
Top Esports,Weibo Gaming,2023-06-11,LPL,1
Rare Atom,LGD Gaming,2023-06-11,LPL,1
FunPlus Phoenix,LNG Esports,2023-06-11,LPL,0
EDward Gaming,JD Gaming,2023-06-10,LPL,0
Team WE,Invictus Gaming,2023-06-10,LPL,1
Royal Never Give Up,Oh My God,2023-06-10,LPL,0
Bilibili Gaming,Ultra Prime,2023-06-09,LPL,1
Top Esports,ThunderTalk Gaming,2023-06-09,LPL,1
Anyone's Legend,Ninjas in Pyjamas,2023-06-09,LPL,0
LNG Esports,Weibo Gaming,2023-06-08,LPL,0
JD Gaming,LGD Gaming,2023-06-08,LPL,1
Rare Atom,FunPlus Phoenix,2023-06-08,LPL,1
EDward Gaming,Bilibili Gaming,2023-06-07,LPL,0
Invictus Gaming,Royal Never Give Up,2023-06-07,LPL,0
JD Gaming,Oh My God,2023-06-07,LPL,1
Ninjas in Pyjamas,Top Esports,2023-06-06,LPL,0
Team WE,Ultra Prime,2023-06-06,LPL,1
ThunderTalk Gaming,Anyone's Legend,2023-06-05,LPL,0
Ninjas in Pyjamas,LGD Gaming,2023-06-05,LPL,1
JD Gaming,LNG Esports,2023-06-04,LPL,1
Weibo Gaming,Oh My God,2023-06-04,LPL,0
Bilibili Gaming,Rare Atom,2023-06-04,LPL,1
Top Esports,EDward Gaming,2023-06-03,LPL,1
Royal Never Give Up,LNG Esports,2023-06-03,LPL,0
Invictus Gaming,Ninjas in Pyjamas,2023-06-03,LPL,0
FunPlus Phoenix,Ultra Prime,2023-06-02,LPL,0
LGD Gaming,ThunderTalk Gaming,2023-06-02,LPL,0
Team WE,Anyone's Legend,2023-06-02,LPL,1
Weibo Gaming,JD Gaming,2023-06-01,LPL,1
Oh My God,Bilibili Gaming,2023-06-01,LPL,0
LNG Esports,Top Esports,2023-05-31,LPL,1
Royal Never Give Up,Rare Atom,2023-05-31,LPL,1
Ninjas in Pyjamas,EDward Gaming,2023-05-30,LPL,0
LGD Gaming,Invictus Gaming,2023-05-30,LPL,0
FunPlus Phoenix,ThunderTalk Gaming,2023-05-29,LPL,1
Ultra Prime,Anyone's Legend,2023-05-29,LPL,1
JD Gaming,LNG Esports,2023-08-05,LPL,1
LNG Esports,Bilibili Gaming,2023-08-01,LPL,1
JD Gaming,Bilibili Gaming,2023-07-30,LPL,1
Top Esports,LNG Esports,2023-07-29,LPL,0
JD Gaming,LNG Esports,2023-07-27,LPL,1
Bilibili Gaming,Top Esports,2023-07-26,LPL,1
LNG Esports,Weibo Gaming,2023-07-25,LPL,1
Top Esports,EDward Gaming,2023-07-24,LPL,1
Weibo Gaming,Ninjas in Pyjamas,2023-07-23,LPL,1
Oh My God,EDward Gaming,2023-07-22,LPL,0
Royal Never Give Up,Ninjas in Pyjamas,2023-07-21,LPL,0
EDward Gaming,Team WE,2023-07-20,LPL,1
EDward Gaming,Weibo Gaming,2023-08-08,LPL,0
Top Esports,Weibo Gaming,2023-08-07,LPL,0
LNG Esports,EDward Gaming,2023-08-06,LPL,1
MAD Lions,Astralis,2023-02-19,LEC,1
Team Vitality,SK Gaming,2023-02-19,LEC,0
Team BDS,Astralis,2023-02-18,LEC,0
SK Gaming,Team Heretics,2023-02-18,LEC,1
MAD Lions,G2 Esports,2023-02-13,LEC,0
Team Vitality,KOI,2023-02-13,LEC,0
G2 Esports,Team BDS,2023-02-12,LEC,1
MAD Lions,Astralis,2023-02-12,LEC,1
KOI,SK Gaming,2023-02-11,LEC,1
Team Vitality,Team Heretics,2023-02-11,LEC,1
G2 Esports,MAD Lions,2023-02-26,LEC,1
KOI,MAD Lions,2023-02-25,LEC,0
MAD Lions,SK Gaming,2023-02-24,LEC,1
G2 Esports,KOI,2023-02-20,LEC,1
Team Heretics,MAD Lions,2023-03-27,LEC,0
KOI,Team Vitality,2023-03-27,LEC,0
MAD Lions,G2 Esports,2023-03-27,LEC,0
Astralis,Fnatic,2023-03-27,LEC,1
Team Heretics,SK Gaming,2023-03-27,LEC,1
Team BDS,Excel Esports,2023-03-27,LEC,1
G2 Esports,Fnatic,2023-03-26,LEC,0
Team Vitality,Team Heretics,2023-03-26,LEC,1
KOI,Team BDS,2023-03-26,LEC,0
MAD Lions,SK Gaming,2023-03-26,LEC,1
Excel Esports,Astralis,2023-03-26,LEC,0
SK Gaming,G2 Esports,2023-03-25,LEC,0
Fnatic,MAD Lions,2023-03-25,LEC,1
Team Vitality,Team BDS,2023-03-25,LEC,0
KOI,Excel Esports,2023-03-25,LEC,1
Team Heretics,Astralis,2023-03-25,LEC,0
Fnatic,KOI,2023-03-20,LEC,1
Team BDS,G2 Esports,2023-03-20,LEC,0
Astralis,Team Vitality,2023-03-20,LEC,1
MAD Lions,Team Heretics,2023-03-20,LEC,0
Excel Esports,SK Gaming,2023-03-20,LEC,0
G2 Esports,Team Vitality,2023-03-19,LEC,1
SK Gaming,KOI,2023-03-19,LEC,0
Team Heretics,Fnatic,2023-03-19,LEC,0
Excel Esports,MAD Lions,2023-03-19,LEC,1
Team BDS,Astralis,2023-03-19,LEC,1
KOI,G2 Esports,2023-03-18,LEC,1
Team Vitality,SK Gaming,2023-03-18,LEC,1
Fnatic,Team BDS,2023-03-18,LEC,0
Team Heretics,Excel Esports,2023-03-18,LEC,1
Astralis,MAD Lions,2023-03-18,LEC,0
Fnatic,Team Vitality,2023-03-13,LEC,0
G2 Esports,Excel Esports,2023-03-13,LEC,1
MAD Lions,KOI,2023-03-13,LEC,1
SK Gaming,Astralis,2023-03-13,LEC,1
Team Heretics,Team BDS,2023-03-13,LEC,0
KOI,Team Heretics,2023-03-12,LEC,1
Astralis,G2 Esports,2023-03-12,LEC,1
SK Gaming,Fnatic,2023-03-12,LEC,1
Excel Esports,Team Vitality,2023-03-12,LEC,0
Team BDS,MAD Lions,2023-03-12,LEC,1
G2 Esports,Team Heretics,2023-03-11,LEC,1
Astralis,KOI,2023-03-11,LEC,1
Team Vitality,MAD Lions,2023-03-11,LEC,1
Team BDS,SK Gaming,2023-03-11,LEC,0
Excel Esports,Fnatic,2023-03-11,LEC,1
G2 Esports,KOI,2023-04-16,LEC,1
Astralis,MAD Lions,2023-04-16,LEC,0
G2 Esports,SK Gaming,2023-04-15,LEC,1
MAD Lions,Fnatic,2023-04-15,LEC,1
Team BDS,KOI,2023-04-10,LEC,1
Astralis,Team Vitality,2023-04-10,LEC,0
G2 Esports,KOI,2023-04-09,LEC,0
Team BDS,SK Gaming,2023-04-09,LEC,1
Team Vitality,MAD Lions,2023-04-08,LEC,1
Astralis,Fnatic,2023-04-08,LEC,1
Team BDS,MAD Lions,2023-04-23,LEC,0
Team Vitality,MAD Lions,2023-04-22,LEC,0
G2 Esports,MAD Lions,2023-04-21,LEC,0
Team BDS,Team Vitality,2023-04-17,LEC,1
SK Gaming,Fnatic,2023-07-03,LEC,1
Team Heretics,G2 Esports,2023-07-03,LEC,0
KOI,Astralis,2023-07-03,LEC,1
Team Vitality,Excel Esports,2023-07-03,LEC,0
Team BDS,MAD Lions,2023-07-03,LEC,1
SK Gaming,MAD Lions,2023-07-02,LEC,1
Team BDS,Team Vitality,2023-07-02,LEC,1
Team Heretics,Fnatic,2023-07-02,LEC,0
G2 Esports,KOI,2023-07-02,LEC,1
Excel Esports,Astralis,2023-07-02,LEC,1
MAD Lions,Team Heretics,2023-07-01,LEC,0
Fnatic,Team BDS,2023-07-01,LEC,1
Excel Esports,G2 Esports,2023-07-01,LEC,0
Team Vitality,KOI,2023-07-01,LEC,0
Astralis,SK Gaming,2023-07-01,LEC,1
Fnatic,Team Vitality,2023-06-26,LEC,1
KOI,SK Gaming,2023-06-26,LEC,0
G2 Esports,Astralis,2023-06-26,LEC,1
MAD Lions,Excel Esports,2023-06-26,LEC,0
Team BDS,Team Heretics,2023-06-26,LEC,0
MAD Lions,Fnatic,2023-06-25,LEC,0
G2 Esports,SK Gaming,2023-06-25,LEC,1
Team Heretics,KOI,2023-06-25,LEC,0
Astralis,Team Vitality,2023-06-25,LEC,1
Excel Esports,Team BDS,2023-06-25,LEC,1
Astralis,MAD Lions,2023-06-24,LEC,0
Team Vitality,G2 Esports,2023-06-24,LEC,0
KOI,Fnatic,2023-06-24,LEC,0
Excel Esports,Team Heretics,2023-06-24,LEC,1
SK Gaming,Team BDS,2023-06-24,LEC,0
Team Heretics,Team Vitality,2023-06-19,LEC,1
G2 Esports,Fnatic,2023-06-19,LEC,1
MAD Lions,KOI,2023-06-19,LEC,1
Team BDS,Astralis,2023-06-19,LEC,0
Excel Esports,SK Gaming,2023-06-19,LEC,0
Astralis,Team Heretics,2023-06-18,LEC,0
Team BDS,KOI,2023-06-18,LEC,1
MAD Lions,G2 Esports,2023-06-18,LEC,1
Fnatic,Excel Esports,2023-06-18,LEC,1
Team Vitality,SK Gaming,2023-06-18,LEC,1
Fnatic,Astralis,2023-06-17,LEC,1
G2 Esports,Team BDS,2023-06-17,LEC,1
KOI,Excel Esports,2023-06-17,LEC,1
SK Gaming,Team Heretics,2023-06-17,LEC,0
Team Vitality,MAD Lions,2023-06-17,LEC,0
Team Heretics,Team BDS,2023-07-23,LEC,1
Fnatic,SK Gaming,2023-07-23,LEC,1
Team Heretics,KOI,2023-07-22,LEC,1
Fnatic,MAD Lions,2023-07-22,LEC,1
G2 Esports,Team BDS,2023-07-17,LEC,1
Excel Esports,SK Gaming,2023-07-17,LEC,1
G2 Esports,KOI,2023-07-16,LEC,1
Team Heretics,Team BDS,2023-07-16,LEC,0
SK Gaming,Fnatic,2023-07-15,LEC,1
Excel Esports,MAD Lions,2023-07-15,LEC,1
G2 Esports,Excel Esports,2023-07-30,LEC,1
Excel Esports,Fnatic,2023-07-29,LEC,1
Fnatic,Team Heretics,2023-07-28,LEC,1
G2 Esports,Excel Esports,2023-07-24,LEC,1
G2 Esports,Fnatic,2023-09-10,LEC,1
MAD Lions,Fnatic,2023-09-09,LEC,0
G2 Esports,MAD Lions,2023-09-03,LEC,1
Team BDS,Fnatic,2023-09-02,LEC,0
Excel Esports,Fnatic,2023-08-27,LEC,0
Team BDS,SK Gaming,2023-08-26,LEC,1
G2 Esports,Team BDS,2023-08-20,LEC,1
MAD Lions,Excel Esports,2023-08-19,LEC,1
KT Rolster,DRX,2023-03-19,LCK,1
T1,Nongshim RedForce,2023-03-19,LCK,1
Gen.G,Dplus KIA,2023-03-18,LCK,1
Hanwha Life Esports,Liiv SANDBOX,2023-03-18,LCK,1
BRION,Nongshim RedForce,2023-03-17,LCK,0
Kwangdong Freecs,KT Rolster,2023-03-17,LCK,0
Hanwha Life Esports,Gen.G,2023-03-16,LCK,0
Dplus KIA,T1,2023-03-16,LCK,0
Liiv SANDBOX,BRION,2023-03-15,LCK,1
Kwangdong Freecs,DRX,2023-03-15,LCK,1
Gen.G,Kwangdong Freecs,2023-03-12,LCK,0
Dplus KIA,BRION,2023-03-12,LCK,1
T1,Hanwha Life Esports,2023-03-11,LCK,1
Liiv SANDBOX,DRX,2023-03-11,LCK,1
BRION,KT Rolster,2023-03-10,LCK,0
Dplus KIA,Nongshim RedForce,2023-03-10,LCK,1
T1,DRX,2023-03-09,LCK,1
Gen.G,Liiv SANDBOX,2023-03-09,LCK,1
KT Rolster,Hanwha Life Esports,2023-03-08,LCK,1
Kwangdong Freecs,Nongshim RedForce,2023-03-08,LCK,1
BRION,Gen.G,2023-03-05,LCK,0
Liiv SANDBOX,KT Rolster,2023-03-05,LCK,0
Nongshim RedForce,DRX,2023-03-04,LCK,0
Hanwha Life Esports,Dplus KIA,2023-03-04,LCK,0
BRION,T1,2023-03-03,LCK,0
Liiv SANDBOX,Kwangdong Freecs,2023-03-03,LCK,0
Hanwha Life Esports,Nongshim RedForce,2023-03-02,LCK,1
KT Rolster,Gen.G,2023-03-02,LCK,1
DRX,Dplus KIA,2023-03-01,LCK,0
Kwangdong Freecs,T1,2023-03-01,LCK,0
Hanwha Life Esports,Kwangdong Freecs,2023-02-26,LCK,1
BRION,DRX,2023-02-26,LCK,0
Nongshim RedForce,Liiv SANDBOX,2023-02-25,LCK,0
T1,KT Rolster,2023-02-25,LCK,1
Dplus KIA,Kwangdong Freecs,2023-02-24,LCK,1
Gen.G,DRX,2023-02-24,LCK,1
T1,Liiv SANDBOX,2023-02-23,LCK,1
Hanwha Life Esports,BRION,2023-02-23,LCK,1
KT Rolster,Dplus KIA,2023-02-22,LCK,0
Nongshim RedForce,Gen.G,2023-02-22,LCK,0
Dplus KIA,Liiv SANDBOX,2023-02-19,LCK,0
T1,Gen.G,2023-02-19,LCK,1
Nongshim RedForce,KT Rolster,2023-02-18,LCK,0
Kwangdong Freecs,BRION,2023-02-18,LCK,0
Hanwha Life Esports,DRX,2023-02-17,LCK,1
Liiv SANDBOX,T1,2023-02-17,LCK,0
Kwangdong Freecs,Gen.G,2023-02-16,LCK,0
BRION,Dplus KIA,2023-02-16,LCK,0
Nongshim RedForce,Hanwha Life Esports,2023-02-15,LCK,0
